x,y
-200.000000,0.033546
-199.000000,0.036333
-198.000000,0.039335
-197.000000,0.042569
-196.000000,0.046050
-195.000000,0.049796
-194.000000,0.053824
-193.000000,0.058156
-192.000000,0.062811
-191.000000,0.067811
-190.000000,0.073180
-189.000000,0.078943
-188.000000,0.085125
-187.000000,0.091755
-186.000000,0.098862
-185.000000,0.106477
-184.000000,0.114632
-183.000000,0.123362
-182.000000,0.132705
-181.000000,0.142697
-180.000000,0.153381
-179.000000,0.164799
-178.000000,0.176996
-177.000000,0.190019
-176.000000,0.203920
-175.000000,0.218749
-174.000000,0.234563
-173.000000,0.251420
-172.000000,0.269381
-171.000000,0.288509
-170.000000,0.308872
-169.000000,0.330539
-168.000000,0.353586
-167.000000,0.378087
-166.000000,0.404125
-165.000000,0.431784
-164.000000,0.461151
-163.000000,0.492318
-162.000000,0.525382
-161.000000,0.560442
-160.000000,0.597602
-159.000000,0.636972
-158.000000,0.678664
-157.000000,0.722795
-156.000000,0.769488
-155.000000,0.818870
-154.000000,0.871073
-153.000000,0.926233
-152.000000,0.984492
-151.000000,1.045997
-150.000000,1.110900
-149.000000,1.179358
-148.000000,1.251534
-147.000000,1.327597
-146.000000,1.407718
-145.000000,1.492079
-144.000000,1.580862
-143.000000,1.674258
-142.000000,1.772463
-141.000000,1.875678
-140.000000,1.984109
-139.000000,2.097970
-138.000000,2.217477
-137.000000,2.342855
-136.000000,2.474331
-135.000000,2.612141
-134.000000,2.756523
-133.000000,2.907723
-132.000000,3.065989
-131.000000,3.231577
-130.000000,3.404745
-129.000000,3.585759
-128.000000,3.774886
-127.000000,3.972399
-126.000000,4.178575
-125.000000,4.393693
-124.000000,4.618039
-123.000000,4.851899
-122.000000,5.095563
-121.000000,5.349324
-120.000000,5.613476
-119.000000,5.888317
-118.000000,6.174144
-117.000000,6.471256
-116.000000,6.779953
-115.000000,7.100535
-114.000000,7.433302
-113.000000,7.778552
-112.000000,8.136582
-111.000000,8.507688
-110.000000,8.892162
-109.000000,9.290294
-108.000000,9.702370
-107.000000,10.128672
-106.000000,10.569476
-105.000000,11.025053
-104.000000,11.495667
-103.000000,11.981577
-102.000000,12.483031
-101.000000,13.000271
-100.000000,13.533528
-99.000000,14.083025
-98.000000,14.648972
-97.000000,15.231569
-96.000000,15.831002
-95.000000,16.447446
-94.000000,17.081059
-93.000000,17.731987
-92.000000,18.400359
-91.000000,19.086288
-90.000000,19.789870
-89.000000,20.511182
-88.000000,21.250282
-87.000000,22.007211
-86.000000,22.781987
-85.000000,23.574608
-84.000000,24.385049
-83.000000,25.213264
-82.000000,26.059182
-81.000000,26.922710
-80.000000,27.803730
-79.000000,28.702097
-78.000000,29.617642
